mean_ranks,created_at,loss,train_loss,epoch
,2023-04-07 05:06:37.936114,"tensor(9.8546, device='cuda:0', grad_fn=<AddBackward0>)","tensor(9.8546, device='cuda:0', grad_fn=<AddBackward0>)",
3727.75,2023-04-07 05:06:38.019216,,,
3802.400146484375,2023-04-07 05:06:38.048443,,,
2908.199951171875,2023-04-07 05:06:38.077408,,,
3202.85009765625,2023-04-07 05:06:38.107222,,,
3339.75,2023-04-07 05:06:38.134973,,,
2788.150146484375,2023-04-07 05:06:38.159378,,,
3412.10009765625,2023-04-07 05:06:38.183257,,,
3614.5,2023-04-07 05:06:38.207049,,,
3445.75,2023-04-07 05:06:38.230436,,,
3732.75,2023-04-07 05:06:38.253646,,,
3663.0,2023-04-07 05:06:38.276670,,,
2995.199951171875,2023-04-07 05:06:38.299874,,,
3369.550048828125,2023-04-07 05:06:38.324119,,,
2496.0,2023-04-07 05:06:38.349251,,,
3063.699951171875,2023-04-07 05:06:38.372396,,,
3373.400146484375,2023-04-07 05:06:38.395503,,,
2990.300048828125,2023-04-07 05:06:38.418625,,,
3662.75,2023-04-07 05:06:38.442426,,,
3234.550048828125,2023-04-07 05:06:38.465755,,,
2773.85009765625,2023-04-07 05:06:38.488949,,,
3344.800048828125,2023-04-07 05:06:38.511906,,,
2529.550048828125,2023-04-07 05:06:38.534869,,,
3950.800048828125,2023-04-07 05:06:38.558345,,,
3895.10009765625,2023-04-07 05:06:38.581644,,,
3654.35009765625,2023-04-07 05:06:38.605130,,,
3858.300048828125,2023-04-07 05:06:38.628222,,,
3290.949951171875,2023-04-07 05:06:38.651425,,,
3187.60009765625,2023-04-07 05:06:38.674762,,,
3139.85009765625,2023-04-07 05:06:38.697728,,,
3749.300048828125,2023-04-07 05:06:38.720733,,,
3791.300048828125,2023-04-07 05:06:38.744387,,,
3624.5,2023-04-07 05:06:38.767755,,,
3260.050048828125,2023-04-07 05:06:38.791150,,,
3639.699951171875,2023-04-07 05:06:38.814256,,,
3543.300048828125,2023-04-07 05:06:38.837154,,,
3715.050048828125,2023-04-07 05:06:38.860349,,,
3016.10009765625,2023-04-07 05:06:38.883548,,,
3519.150146484375,2023-04-07 05:06:38.907609,,,
3991.5,2023-04-07 05:06:38.930819,,,
3707.10009765625,2023-04-07 05:06:38.953909,,,
3206.10009765625,2023-04-07 05:06:38.976916,,,
3458.650146484375,2023-04-07 05:06:39.000504,,,
2859.949951171875,2023-04-07 05:06:39.023907,,,
3113.199951171875,2023-04-07 05:06:39.047096,,,
3464.60009765625,2023-04-07 05:06:39.071334,,,
3495.35009765625,2023-04-07 05:06:39.094534,,,
2833.35009765625,2023-04-07 05:06:39.117897,,,
3363.949951171875,2023-04-07 05:06:39.141804,,,
2533.150146484375,2023-04-07 05:06:39.165394,,,
3831.25,2023-04-07 05:06:39.188492,,,
3458.900146484375,2023-04-07 05:06:39.211679,,,
3790.050048828125,2023-04-07 05:06:39.234819,,,
3585.10009765625,2023-04-07 05:06:39.258494,,,
3585.25,2023-04-07 05:06:39.281896,,,
3943.85009765625,2023-04-07 05:06:39.305120,,,
3235.60009765625,2023-04-07 05:06:39.328222,,,
3819.199951171875,2023-04-07 05:06:39.354745,,,
3184.550048828125,2023-04-07 05:06:39.377983,,,
3100.650146484375,2023-04-07 05:06:39.401116,,,
3563.75,2023-04-07 05:06:39.424361,,,
2873.900146484375,2023-04-07 05:06:39.447436,,,
3133.0,2023-04-07 05:06:39.470524,,,
3501.550048828125,2023-04-07 05:06:39.494078,,,
3598.10009765625,2023-04-07 05:06:39.517704,,,
2765.400146484375,2023-04-07 05:06:39.541013,,,
2732.650146484375,2023-04-07 05:06:39.564378,,,
2891.60009765625,2023-04-07 05:06:39.587132,,,
2694.199951171875,2023-04-07 05:06:39.610283,,,
2793.800048828125,2023-04-07 05:06:39.633076,,,
3246.949951171875,2023-04-07 05:06:39.656125,,,
2450.449951171875,2023-04-07 05:06:39.679171,,,
3383.949951171875,2023-04-07 05:06:39.702441,,,
3322.699951171875,2023-04-07 05:06:39.726012,,,
2779.550048828125,2023-04-07 05:06:39.749312,,,
3619.10009765625,2023-04-07 05:06:39.772315,,,
2910.199951171875,2023-04-07 05:06:39.795683,,,
3448.5,2023-04-07 05:06:39.819214,,,
3767.85009765625,2023-04-07 05:06:39.843235,,,
2587.400146484375,2023-04-07 05:06:39.866703,,,
2686.150146484375,2023-04-07 05:06:39.889999,,,
2954.75,2023-04-07 05:06:39.913412,,,
3546.35009765625,2023-04-07 05:06:39.936418,,,
3083.400146484375,2023-04-07 05:06:39.960283,,,
4092.150146484375,2023-04-07 05:06:39.983511,,,
3742.900146484375,2023-04-07 05:06:40.006394,,,
3488.900146484375,2023-04-07 05:06:40.029482,,,
3463.449951171875,2023-04-07 05:06:40.052637,,,
3593.25,2023-04-07 05:06:40.075927,,,
3033.10009765625,2023-04-07 05:06:40.099207,,,
3301.0,2023-04-07 05:06:40.122625,,,
3305.60009765625,2023-04-07 05:06:40.145950,,,
3647.199951171875,2023-04-07 05:06:40.169027,,,
3839.550048828125,2023-04-07 05:06:40.192255,,,
3871.900146484375,2023-04-07 05:06:40.215161,,,
3248.35009765625,2023-04-07 05:06:40.238179,,,
3927.85009765625,2023-04-07 05:06:40.261361,,,
4270.05029296875,2023-04-07 05:06:40.284872,,,
3372.35009765625,2023-04-07 05:06:40.309252,,,
3765.900146484375,2023-04-07 05:06:40.332352,,,
3184.650146484375,2023-04-07 05:06:40.355653,,,
3346.800048828125,2023-04-07 05:06:40.381829,,,
3531.900146484375,2023-04-07 05:06:40.405144,,,
3791.400146484375,2023-04-07 05:06:40.428531,,,
3051.5,2023-04-07 05:06:40.452347,,,
3719.300048828125,2023-04-07 05:06:40.475493,,,
3237.650146484375,2023-04-07 05:06:40.498940,,,
3492.60009765625,2023-04-07 05:06:40.522022,,,
3308.85009765625,2023-04-07 05:06:40.545865,,,
4294.30029296875,2023-04-07 05:06:40.569138,,,
2251.150146484375,2023-04-07 05:06:40.592398,,,
3652.050048828125,2023-04-07 05:06:40.615580,,,
3905.449951171875,2023-04-07 05:06:40.638787,,,
3355.800048828125,2023-04-07 05:06:40.662543,,,
4095.699951171875,2023-04-07 05:06:40.685500,,,
3459.900146484375,2023-04-07 05:06:40.708603,,,
2970.35009765625,2023-04-07 05:06:40.731484,,,
3712.300048828125,2023-04-07 05:06:40.754396,,,
2929.050048828125,2023-04-07 05:06:40.778177,,,
3836.949951171875,2023-04-07 05:06:40.801436,,,
3714.10009765625,2023-04-07 05:06:40.824555,,,
3815.699951171875,2023-04-07 05:06:40.847461,,,
4195.89990234375,2023-04-07 05:06:40.870754,,,
3695.25,2023-04-07 05:06:40.894101,,,
4051.60009765625,2023-04-07 05:06:40.917049,,,
4077.75,2023-04-07 05:06:40.940076,,,
3722.35009765625,2023-04-07 05:06:40.963201,,,
3560.550048828125,2023-04-07 05:06:40.986174,,,
3374.550048828125,2023-04-07 05:06:41.009378,,,
3453.800048828125,2023-04-07 05:06:41.032547,,,
3440.60009765625,2023-04-07 05:06:41.055701,,,
3283.60009765625,2023-04-07 05:06:41.078804,,,
2875.60009765625,2023-04-07 05:06:41.102180,,,
2714.75,2023-04-07 05:06:41.125500,,,
3371.85009765625,2023-04-07 05:06:41.148605,,,
3001.300048828125,2023-04-07 05:06:41.171693,,,
3238.0,2023-04-07 05:06:41.194736,,,
3238.650146484375,2023-04-07 05:06:41.217699,,,
2727.699951171875,2023-04-07 05:06:41.241044,,,
4238.75,2023-04-07 05:06:41.264062,,,
3448.199951171875,2023-04-07 05:06:41.287099,,,
3069.400146484375,2023-04-07 05:06:41.310420,,,
3653.949951171875,2023-04-07 05:06:41.333299,,,
3321.650146484375,2023-04-07 05:06:41.356694,,,
3223.150146484375,2023-04-07 05:06:41.380648,,,
3402.900146484375,2023-04-07 05:06:41.404221,,,
3446.449951171875,2023-04-07 05:06:41.427048,,,
3094.949951171875,2023-04-07 05:06:41.450119,,,
3556.650146484375,2023-04-07 05:06:41.473519,,,
3690.199951171875,2023-04-07 05:06:41.497077,,,
3185.400146484375,2023-04-07 05:06:41.520298,,,
3298.75,2023-04-07 05:06:41.543726,,,
3521.199951171875,2023-04-07 05:06:41.566764,,,
3248.0,2023-04-07 05:06:41.590085,,,
3495.150146484375,2023-04-07 05:06:41.613414,,,
3848.050048828125,2023-04-07 05:06:41.636497,,,
3256.85009765625,2023-04-07 05:06:41.659811,,,
3710.35009765625,2023-04-07 05:06:41.683064,,,
3183.699951171875,2023-04-07 05:06:41.706531,,,
3129.85009765625,2023-04-07 05:06:41.729387,,,
2832.900146484375,2023-04-07 05:06:41.752168,,,
3375.449951171875,2023-04-07 05:06:41.775135,,,
3190.699951171875,2023-04-07 05:06:41.798348,,,
3815.10009765625,2023-04-07 05:06:41.821965,,,
3685.800048828125,2023-04-07 05:06:41.845395,,,
2518.85009765625,2023-04-07 05:06:41.868492,,,
3754.449951171875,2023-04-07 05:06:41.891496,,,
3190.900146484375,2023-04-07 05:06:41.914533,,,
3447.5,2023-04-07 05:06:41.937770,,,
2546.5,2023-04-07 05:06:41.961014,,,
3535.0,2023-04-07 05:06:41.984315,,,
3477.800048828125,2023-04-07 05:06:42.007644,,,
3423.75,2023-04-07 05:06:42.030813,,,
3505.800048828125,2023-04-07 05:06:42.054759,,,
4261.4501953125,2023-04-07 05:06:42.078073,,,
2988.25,2023-04-07 05:06:42.101382,,,
3224.550048828125,2023-04-07 05:06:42.124908,,,
3542.400146484375,2023-04-07 05:06:42.148119,,,
3213.0,2023-04-07 05:06:42.171380,,,
3578.699951171875,2023-04-07 05:06:42.194254,,,
3332.449951171875,2023-04-07 05:06:42.217338,,,
3610.0,2023-04-07 05:06:42.240476,,,
3131.5,2023-04-07 05:06:42.263667,,,
3082.650146484375,2023-04-07 05:06:42.287066,,,
2924.699951171875,2023-04-07 05:06:42.310716,,,
3652.300048828125,2023-04-07 05:06:42.333951,,,
3803.10009765625,2023-04-07 05:06:42.356896,,,
3595.449951171875,2023-04-07 05:06:42.380214,,,
2691.60009765625,2023-04-07 05:06:42.408381,,,
3567.25,2023-04-07 05:06:42.431502,,,
3475.900146484375,2023-04-07 05:06:42.454456,,,
3172.5,2023-04-07 05:06:42.477966,,,
3786.35009765625,2023-04-07 05:06:42.501138,,,
3113.650146484375,2023-04-07 05:06:42.524621,,,
3074.150146484375,2023-04-07 05:06:42.547889,,,
3562.400146484375,2023-04-07 05:06:42.570949,,,
3334.449951171875,2023-04-07 05:06:42.593959,,,
3067.400146484375,2023-04-07 05:06:42.617090,,,
3865.60009765625,2023-04-07 05:06:42.640678,,,
3800.25,2023-04-07 05:06:42.663932,,,
3272.800048828125,2023-04-07 05:06:42.686818,,,
3199.10009765625,2023-04-07 05:06:42.710141,,,
3112.199951171875,2023-04-07 05:06:42.733064,,,
3225.400146484375,2023-04-07 05:06:42.756513,,,
2980.199951171875,2023-04-07 05:06:42.780206,,,
3786.050048828125,2023-04-07 05:06:42.803509,,,
4567.10009765625,2023-04-07 05:06:42.826519,,,
4068.300048828125,2023-04-07 05:06:42.849854,,,
3401.550048828125,2023-04-07 05:06:42.873301,,,
3971.900146484375,2023-04-07 05:06:42.896435,,,
2687.150146484375,2023-04-07 05:06:42.919761,,,
3165.300048828125,2023-04-07 05:06:42.943033,,,
2859.300048828125,2023-04-07 05:06:42.966060,,,
4083.449951171875,2023-04-07 05:06:42.989300,,,
2608.550048828125,2023-04-07 05:06:43.012629,,,
3319.150146484375,2023-04-07 05:06:43.035662,,,
3933.0,2023-04-07 05:06:43.059364,,,
3621.0,2023-04-07 05:06:43.082703,,,
3419.199951171875,2023-04-07 05:06:43.106062,,,
3060.550048828125,2023-04-07 05:06:43.128993,,,
2765.150146484375,2023-04-07 05:06:43.152574,,,
3493.85009765625,2023-04-07 05:06:43.175643,,,
4295.9501953125,2023-04-07 05:06:43.198792,,,
3137.150146484375,2023-04-07 05:06:43.222159,,,
3906.699951171875,2023-04-07 05:06:43.245339,,,
3005.650146484375,2023-04-07 05:06:43.268242,,,
3470.150146484375,2023-04-07 05:06:43.291311,,,
3550.400146484375,2023-04-07 05:06:43.314476,,,
3956.449951171875,2023-04-07 05:06:43.337793,,,
3406.050048828125,2023-04-07 05:06:43.361051,,,
3238.150146484375,2023-04-07 05:06:43.384100,,,
2908.400146484375,2023-04-07 05:06:43.407385,,,
3273.85009765625,2023-04-07 05:06:43.433208,,,
3493.550048828125,2023-04-07 05:06:43.456529,,,
2764.150146484375,2023-04-07 05:06:43.480496,,,
3603.400146484375,2023-04-07 05:06:43.504123,,,
3474.949951171875,2023-04-07 05:06:43.526990,,,
3751.900146484375,2023-04-07 05:06:43.550119,,,
3196.300048828125,2023-04-07 05:06:43.573206,,,
3495.0,2023-04-07 05:06:43.596065,,,
2965.550048828125,2023-04-07 05:06:43.619224,,,
3664.85009765625,2023-04-07 05:06:43.642329,,,
4150.14990234375,2023-04-07 05:06:43.665593,,,
2807.25,2023-04-07 05:06:43.689026,,,
3327.75,2023-04-07 05:06:43.712025,,,
3231.5,2023-04-07 05:06:43.734953,,,
3017.10009765625,2023-04-07 05:06:43.757961,,,
3608.25,2023-04-07 05:06:43.781235,,,
2935.800048828125,2023-04-07 05:06:43.804713,,,
3253.900146484375,2023-04-07 05:06:43.827933,,,
3460.85009765625,2023-04-07 05:06:43.851123,,,
3692.60009765625,2023-04-07 05:06:43.874392,,,
3549.75,2023-04-07 05:06:43.897420,,,
3137.300048828125,2023-04-07 05:06:43.921094,,,
4032.85009765625,2023-04-07 05:06:43.944585,,,
3174.5,2023-04-07 05:06:43.967728,,,
2955.5,2023-04-07 05:06:43.991129,,,
3617.800048828125,2023-04-07 05:06:44.014391,,,
3344.75,2023-04-07 05:06:44.037801,,,
3582.650146484375,2023-04-07 05:06:44.061425,,,
4179.39990234375,2023-04-07 05:06:44.084958,,,
3310.550048828125,2023-04-07 05:06:44.108123,,,
3595.699951171875,2023-04-07 05:06:44.131098,,,
3109.900146484375,2023-04-07 05:06:44.155060,,,
2624.10009765625,2023-04-07 05:06:44.178197,,,
3678.5,2023-04-07 05:06:44.201243,,,
3640.25,2023-04-07 05:06:44.224585,,,
3638.050048828125,2023-04-07 05:06:44.247593,,,
3885.25,2023-04-07 05:06:44.271079,,,
3197.85009765625,2023-04-07 05:06:44.294052,,,
2483.75,2023-04-07 05:06:44.317149,,,
3118.949951171875,2023-04-07 05:06:44.340165,,,
3663.25,2023-04-07 05:06:44.363574,,,
2720.300048828125,2023-04-07 05:06:44.387039,,,
3489.150146484375,2023-04-07 05:06:44.411520,,,
3387.550048828125,2023-04-07 05:06:44.439222,,,
3649.050048828125,2023-04-07 05:06:44.463812,,,
3623.650146484375,2023-04-07 05:06:44.487978,,,
3572.0,2023-04-07 05:06:44.511843,,,
3673.199951171875,2023-04-07 05:06:44.534857,,,
3068.0,2023-04-07 05:06:44.558201,,,
3704.25,2023-04-07 05:06:44.581885,,,
3121.150146484375,2023-04-07 05:06:44.604945,,,
3113.5,2023-04-07 05:06:44.628506,,,
3446.050048828125,2023-04-07 05:06:44.651453,,,
2857.199951171875,2023-04-07 05:06:44.674254,,,
3429.800048828125,2023-04-07 05:06:44.696966,,,
2862.449951171875,2023-04-07 05:06:44.720333,,,
3264.199951171875,2023-04-07 05:06:44.743713,,,
2931.75,2023-04-07 05:06:44.766914,,,
3338.050048828125,2023-04-07 05:06:44.790303,,,
3289.0,2023-04-07 05:06:44.813670,,,
2812.050048828125,2023-04-07 05:06:44.836874,,,
3164.0,2023-04-07 05:06:44.860371,,,
4030.10009765625,2023-04-07 05:06:44.883577,,,
3456.150146484375,2023-04-07 05:06:44.906788,,,
3671.900146484375,2023-04-07 05:06:44.930509,,,
3043.449951171875,2023-04-07 05:06:44.953620,,,
3672.150146484375,2023-04-07 05:06:44.977180,,,
3533.949951171875,2023-04-07 05:06:45.000168,,,
2859.0,2023-04-07 05:06:45.023443,,,
3620.75,2023-04-07 05:06:45.046966,,,
2597.150146484375,2023-04-07 05:06:45.071170,,,
3577.449951171875,2023-04-07 05:06:45.094675,,,
2982.900146484375,2023-04-07 05:06:45.118059,,,
3719.75,2023-04-07 05:06:45.141104,,,
4238.25,2023-04-07 05:06:45.164370,,,
3373.25,2023-04-07 05:06:45.187437,,,
3486.400146484375,2023-04-07 05:06:45.221356,,,
3323.60009765625,2023-04-07 05:06:45.249763,,,
3760.10009765625,2023-04-07 05:06:45.273090,,,
2821.400146484375,2023-04-07 05:06:45.296390,,,
3046.10009765625,2023-04-07 05:06:45.319728,,,
3431.699951171875,2023-04-07 05:06:45.344269,,,
2412.150146484375,2023-04-07 05:06:45.367677,,,
2468.050048828125,2023-04-07 05:06:45.391339,,,
3819.699951171875,2023-04-07 05:06:45.414867,,,
2125.949951171875,2023-04-07 05:06:45.438338,,,
3562.25,2023-04-07 05:06:45.466334,,,
3761.5,2023-04-07 05:06:45.489337,,,
3884.5,2023-04-07 05:06:45.512232,,,
3545.949951171875,2023-04-07 05:06:45.535404,,,
3269.949951171875,2023-04-07 05:06:45.558714,,,
2729.150146484375,2023-04-07 05:06:45.582215,,,
3286.300048828125,2023-04-07 05:06:45.605313,,,
2871.10009765625,2023-04-07 05:06:45.628327,,,
3804.85009765625,2023-04-07 05:06:45.651536,,,
3679.25,2023-04-07 05:06:45.674850,,,
4371.4501953125,2023-04-07 05:06:45.698136,,,
3086.85009765625,2023-04-07 05:06:45.721264,,,
3291.25,2023-04-07 05:06:45.744492,,,
2846.900146484375,2023-04-07 05:06:45.767646,,,
3700.800048828125,2023-04-07 05:06:45.790619,,,
2722.699951171875,2023-04-07 05:06:45.813966,,,
2911.75,2023-04-07 05:06:45.836767,,,
3519.949951171875,2023-04-07 05:06:45.859781,,,
3663.199951171875,2023-04-07 05:06:45.882969,,,
3476.400146484375,2023-04-07 05:06:45.906265,,,
3061.949951171875,2023-04-07 05:06:45.930584,,,
2759.35009765625,2023-04-07 05:06:45.953511,,,
2508.75,2023-04-07 05:06:45.976507,,,
3490.650146484375,2023-04-07 05:06:45.999718,,,
3928.75,2023-04-07 05:06:46.023612,,,
3229.900146484375,2023-04-07 05:06:46.047330,,,
2962.25,2023-04-07 05:06:46.071422,,,
3200.5,2023-04-07 05:06:46.094281,,,
3327.650146484375,2023-04-07 05:06:46.117252,,,
3785.900146484375,2023-04-07 05:06:46.140195,,,
2731.10009765625,2023-04-07 05:06:46.163491,,,
3545.0,2023-04-07 05:06:46.186389,,,
2820.400146484375,2023-04-07 05:06:46.209336,,,
3154.550048828125,2023-04-07 05:06:46.233570,,,
3783.949951171875,2023-04-07 05:06:46.256533,,,
4279.30029296875,2023-04-07 05:06:46.279717,,,
2780.150146484375,2023-04-07 05:06:46.302553,,,
3699.050048828125,2023-04-07 05:06:46.325436,,,
3074.85009765625,2023-04-07 05:06:46.348243,,,
3036.800048828125,2023-04-07 05:06:46.371523,,,
3419.25,2023-04-07 05:06:46.394582,,,
2949.949951171875,2023-04-07 05:06:46.417664,,,
3293.300048828125,2023-04-07 05:06:46.440603,,,
2412.050048828125,2023-04-07 05:06:46.463807,,,
3816.050048828125,2023-04-07 05:06:46.488750,,,
3553.449951171875,2023-04-07 05:06:46.512175,,,
3494.300048828125,2023-04-07 05:06:46.535209,,,
3542.60009765625,2023-04-07 05:06:46.558591,,,
2322.0,2023-04-07 05:06:46.582722,,,
3844.35009765625,2023-04-07 05:06:46.606663,,,
3821.5,2023-04-07 05:06:46.631142,,,
3331.75,2023-04-07 05:06:46.655301,,,
2906.199951171875,2023-04-07 05:06:46.679703,,,
3523.699951171875,2023-04-07 05:06:46.703592,,,
3405.300048828125,2023-04-07 05:06:46.728594,,,
3515.699951171875,2023-04-07 05:06:46.753035,,,
3858.10009765625,2023-04-07 05:06:46.777519,,,
3771.35009765625,2023-04-07 05:06:46.801543,,,
3736.449951171875,2023-04-07 05:06:46.825813,,,
3332.650146484375,2023-04-07 05:06:46.851016,,,
3808.050048828125,2023-04-07 05:06:46.874870,,,
3932.400146484375,2023-04-07 05:06:46.898405,,,
3284.650146484375,2023-04-07 05:06:46.922077,,,
3651.5,2023-04-07 05:06:46.945966,,,
3647.85009765625,2023-04-07 05:06:46.969382,,,
3516.400146484375,2023-04-07 05:06:46.993263,,,
4215.75,2023-04-07 05:06:47.016901,,,
4053.10009765625,2023-04-07 05:06:47.040923,,,
3586.400146484375,2023-04-07 05:06:47.067089,,,
2630.550048828125,2023-04-07 05:06:47.090598,,,
3300.900146484375,2023-04-07 05:06:47.114253,,,
3761.75,2023-04-07 05:06:47.137845,,,
3561.550048828125,2023-04-07 05:06:47.162112,,,
3470.0,2023-04-07 05:06:47.186028,,,
3790.800048828125,2023-04-07 05:06:47.209421,,,
3417.650146484375,2023-04-07 05:06:47.233550,,,
3892.150146484375,2023-04-07 05:06:47.257335,,,
3497.550048828125,2023-04-07 05:06:47.281438,,,
4125.10009765625,2023-04-07 05:06:47.305000,,,
4098.35009765625,2023-04-07 05:06:47.328595,,,
2861.949951171875,2023-04-07 05:06:47.352362,,,
3752.10009765625,2023-04-07 05:06:47.375761,,,
3167.150146484375,2023-04-07 05:06:47.398945,,,
3802.60009765625,2023-04-07 05:06:47.422865,,,
3137.900146484375,2023-04-07 05:06:47.446406,,,
3751.0,2023-04-07 05:06:47.470573,,,
3236.949951171875,2023-04-07 05:06:47.498492,,,
3277.25,2023-04-07 05:06:47.522226,,,
3688.85009765625,2023-04-07 05:06:47.546039,,,
4135.35009765625,2023-04-07 05:06:47.569510,,,
3475.550048828125,2023-04-07 05:06:47.593035,,,
3835.25,2023-04-07 05:06:47.616390,,,
3593.60009765625,2023-04-07 05:06:47.639853,,,
3852.550048828125,2023-04-07 05:06:47.663390,,,
4105.30029296875,2023-04-07 05:06:47.686904,,,
3032.150146484375,2023-04-07 05:06:47.710207,,,
3274.35009765625,2023-04-07 05:06:47.733382,,,
3557.550048828125,2023-04-07 05:06:47.756425,,,
3421.050048828125,2023-04-07 05:06:47.779362,,,
3035.25,2023-04-07 05:06:47.802285,,,
3148.0,2023-04-07 05:06:47.826377,,,
3971.800048828125,2023-04-07 05:06:47.851415,,,
3397.199951171875,2023-04-07 05:06:47.874674,,,
3224.10009765625,2023-04-07 05:06:47.897695,,,
2753.60009765625,2023-04-07 05:06:47.920881,,,
3386.550048828125,2023-04-07 05:06:47.944477,,,
3576.199951171875,2023-04-07 05:06:47.967418,,,
3391.5,2023-04-07 05:06:47.990588,,,
3647.449951171875,2023-04-07 05:06:48.014017,,,
3582.5,2023-04-07 05:06:48.037231,,,
4098.30029296875,2023-04-07 05:06:48.060760,,,
3761.300048828125,2023-04-07 05:06:48.083963,,,
3865.199951171875,2023-04-07 05:06:48.107093,,,
3842.75,2023-04-07 05:06:48.130374,,,
3442.60009765625,2023-04-07 05:06:48.159138,,,
3119.150146484375,2023-04-07 05:06:48.187500,,,
